Name,Ethnicon_1,Ethnicon_2,Ethnicon_3,Characterization,Note,Work,Sub_Work,Note_Work,Passage,Book,Casaubon_Reference,Kaibel_Reference,Asterisk,Note_Reference,Is_Range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ζωικῶν ἢ Ἰχθύων",,,"fr. 277",7,7.318b,7.105@7.106,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Σῴων καὶ Ἰχθύων",,,"fr. 273",7,7.328d,7.137,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων",,,"fr. 274",7,7.303d,7.67,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ζῴων ἢ περὶ Ἰχθύων",,,"fr. 288",7,7.305f,7.72@7.73,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,,"fr. 300",7,7.320e,7.115,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 256",9,9.393d,9.49,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 257",9,9.392b,9.47,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 257",9,9.392c,9.47,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 268",9,9.389a,9.41,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 268",9,9.389b,9.41@9.42,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 269",9,9.393f,9.49@9.50,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 260",9,9.388c,9.40,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 260",9,9.388d,9.40,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 261",9,9.391f,9.46,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 261",9,9.392a,9.46@9.47,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 262",9,9.397b,9.56,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 263",9,9.390e,9.44,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 264",9,9.390f,9.44,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 272",8,8.331d,8.2@8.3,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 279",7,7.277e,7.5@7.6,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 279",7,7.278a,7.6@7.7,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 280",7,7.284f,7.22,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 280",7,7.285a,7.22,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 281",7,7.294d,7.43,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 284",7,7.301c,7.60@7.61,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 285",7,7.282d,7.17,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 287",7,7.307a,7.77,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 289",7,7.306b,7.73@7.74,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 290",7,7.309a,7.81@7.82,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 290",7,7.309b,7.82@7.83,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 291",7,7.310e,7.85@7.86,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 293",7,7.314c,7.95,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 294",7,7.314e,7.95@7.96,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 296",7,7.315a,7.97,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 297",7,7.321e,7.118,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 299",7,7.319e,7.112@7.113,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 299",7,7.319f,7.113,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 302",7,7.327c,7.132@7.133,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 303",7,7.316c,7.100@7.101,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 303",7,7.316d,7.101,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 303",7,7.316e,7.101@7.102,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 305",7,7.317f,7.104@7.105,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 305",7,7.318a,7.105,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 305",7,7.318b,7.105@7.106,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 306",7,7.323c,7.122@7.123,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 306",7,7.323d,7.123,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 306",7,7.323e,7.123,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 307",7,7.326b,7.129@7.130,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 307",7,7.326c,7.130,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 308",7,7.326c,7.130,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ἰχθύων ἡ Ζωικῶν",,"libro non nominato","fr. 308",7,7.326d,7.130,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ζῴων Ἠθῶν καὶ Βίων",,,"h. an. 610b14",7,7.307c,7.78,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","ἐν τῷ περὶ Ζῴων Ἠθῶν καὶ Βίων",,,620b33,7,7.282c,7.16@7.17,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν δευτέρῳ",,"h.an. 543a22",7,7.304c,7.68,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν δευτέρῳ",,"fr. 292",7,7.312c,7.90,,"cf. adn.",
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"h.a. 540b17",7,7.286c,7.26,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,541b12,7,7.323e,7.123,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,541b19,3,3.105c,3.65,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,541b19,3,3.105d,3.65@3.66,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,542b32,7,7.329f,7.139,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a5,7,7.324d,7.125,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a7,7,7.320e,7.115,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a7,7,7.320f,7.115,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a7,7,7.321b,7.117,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a8,7,7.321d,7.117@7.118,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a8,7,7.321e,7.118,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a24,7,7.312e,7.90@7.91,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a24,7,7.312f,7.91,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a30,7,7.308d,7.80@7.81,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543a30,7,7.315a,7.97,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"543b2, 3",7,7.319a,7.108@7.109,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"543b2, 3",7,7.310f,7.86,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543b5,7,7.320f,7.115,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543b11,7,7.303d,7.67,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543b11,7,7.319d,7.111@7.112,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,543b14,7,7.306f,7.77,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a1,7,7.323e,7.123,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a1,7,7.323f,7.123@7.124,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a6,7,7.317d,7.103@7.104,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a23,2,2.63b,2.63,,,
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"lib. V, 13",9,9.394a,9.50,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"lib. V, 13",9,9.394b,9.50,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,"lib. V, 13",9,9.394c,9.50,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.88c,3.35,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.88d,3.35@3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.88e,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.88f,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89a,3.36@3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89b,3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89c,3.37@3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89d,3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89e,3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,544a15,3,3.89f,3.38@3.39,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.88c,3.35,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.88d,3.35@3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.88e,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.88f,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89a,3.36@3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89b,3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89c,3.37@3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89d,3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89e,3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,546b18,3,3.89f,3.38@3.39,,,"range end"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.88c,3.35,,,"range start"
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.88d,3.35@3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.88e,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.88f,3.36,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.89a,3.36@3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.89b,3.37,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.89c,3.37@3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.89d,3.38,,,range
ARISTOTELES,"ὁ Σταγιρίτης",,,,"ὁ Σατυρίτης fort. 13.589c, cf. adn.","(περὶ) Ζῴων Μορίων vel Μορίων (om. Ζῴων)","ἐν πέμπτῳ",,547a13,3,3.89e,3.38,,,range
