"Alcaeus","","","citatur","","","15","15.687d","",""
"Alcaeus","","","","","ἐν τῷ δεκάτῳ","11","11.481a","",""
"Alcaeus","","","περὶ Ἀλκαίου scripsit Dicaearchus Messenius, de quo infra. περὶ τῆς παρ’ Ἀλκαίῳ λεπάδος Callias Mytilenaeus","","","3","3.85e","",""
"Alcaeus","","","περὶ Ἀλκαίου scripsit Dicaearchus Messenius, de quo infra. περὶ τῆς παρ’ Ἀλκαίῳ λεπάδος Callias Mytilenaeus","","","3","3.85f","",""
"Alcaeus","","comicus","","Ἀδελφαὶ μοιχευόμεναι","","7","7.316b","",""
"Alcaeus","","comicus","","Γανυμήδης","","3","3.110a","",""
"Alcaeus","","comicus","","Γανυμήδης","","10","10.445e","",""
"Alcaeus","","comicus","","Ἱερὸς γάμος","","9","9.408e","",""
"Alcaeus","","comicus","","Ἱερὸς γάμος","","10","10.424d","",""
"Alcaeus","","comicus","","Καλλιστώ","","9","9.399f","",""
"Alcaeus","","comicus","","Παλαίστρα","","3","3.107f","",""
"Alcaeus","","comicus","","Παλαίστρα","","9","9.370f","",""
"Alcaeus","","comicus","","Παλαίστρα","","9","9.390c","",""
"Alcaeus","","comicus","","ἐν Παλαίστραις","","15","15.691b","",""
"Alcetas","","","","ἐν δευτέρῳ περὶ τῶν ἐν Δελφοῖς ἀναθημάτων","","13","13.591c","",""
"Alcidamas","Elaeensis","Gorgiae discipulus","","Ἐγκώμιον Ναΐδος τῆς ἑταίρας","","13","13.592c","",""
"Alcimus","Siculus","","","","","12","12.518b","",""
"Alcimus","Siculus","","","ἐν τῇ ἐπιγραφομένῃ τῶν βίβλων Ἰταλικῇ","","10","10.441a","",""
"Alcimus","Siculus","","","Σικελικά","","7","7.322a","",""
"Alciphron","Maeandrius","","","","","1","1.31d","",""
"Alcman","","","","","","4","4.140c","",""
"Alcman","","","eius cantica in festorum solennitate publice canebant Lacedaemonii","","","15","15.678c","",""
"Alcman","","","primus perhibetnr fuisse τῶν ἐρωτικῶν μελῶν ἡγεμών","","","13","13.600f","cf. 601a",""
"Alcman","","","citatur","","","1","1.31c","",""
"Alcman","","","citatur","","","2","2.39a","",""
"Alcman","","","citatur","","","3","3.81d","",""
"Alcman","","","citatur","","","3","3.81f","",""
"Alcman","","","citatur","","","3","3.114f","",""
"Alcman","","","citatur","","","4","4.140c","",""
"Alcman","","","citatur","","","9","9.373e","",""
"Alcman","","","citatur","","","9","9.374d","",""
"Alcman","","","citatur","","","9","9.389f","",""
"Alcman","","","citatur","","","11","11.498f","",""
"Alcman","","","citatur","","","11","11.499a","",""
"Alcman","","","citatur","","","13","13.600f","",""
"Alcman","","","citatur","","","14","14.624b","",""
"Alcman","","","citatur","","","14","14.636f","",""
"Alcman","","","citatur","","","14","14.646a","",""
"Alcman","","","citatur","","","14","14.648b","",""
"Alcman","","","citatur","","","15","15.680f","",""
"Alcman","","","citatur","","","15","15.681a","",""
"Alcman","","","","","ἐν τῷ τρίτῳ","10","10.416c","",""
"Alcman","","","","","ἐν τῷ πέμπτῳ","3","3.110f","",""
"Alcman","","","","","ἐν τῷ πέμπτῳ","3","3.111a","",""
"Alcman","","","","","ἐν τῷ πέμπτῳ","10","10.416d","",""
"Alcman","","","περὶ Ἀλκμᾶνος scripsit Sosibius","","","","","",""
"Alexamenus","Teius","","ante Platonem mimica poesi usus dialogos conscripsit","","","11","11.505b","",""
"Alexamenus","Teius","","ante Platonem mimica poesi usus dialogos conscripsit","","","11","11.505c","",""
