"DIPHILVS","","","","comicus","","Ἀπολιποῦσα","","auctor citatur Δίφιλος ἢ Σώσιππος 4.133f","fr. 18","4","4.133f","","",""
"DIPHILVS","","","","comicus","","Βαλανεῖον","","","fr. 20","10","10.446d","","",""
"DIPHILVS","","","","comicus","","Βοιώτιον","","","fr. 22","10","10.417e","","",""
"DIPHILVS","","","","comicus","","Γάμος","","","fr. 24","6","6.254e","","",""
"DIPHILVS","","","","comicus","","Διαμαρτάνουσα","","","fr. 26","3","3.111e","","",""
"DIPHILVS","","","","comicus","","Ἑκάτη","","","fr. 28","14","14.645a","","",""
"DIPHILVS","","","","comicus","","Ἐλαιωνοφρουροῦντες","","","fr. 30","6","6.223a","","","range start"
"DIPHILVS","","","","comicus","","Ἐλαιωνοφρουροῦντες","","","fr. 30","6","6.223b","","","range end"
"DIPHILVS","","","","comicus","","Ἔμπορος","","","fr. 32","6","6.227e","","","range start"
"DIPHILVS","","","","comicus","","Ἔμπορος","","","fr. 32","6","6.228b","","","range end"
"DIPHILVS","","","","comicus","","Ἔμπορος","","","fr. 33","6","6.226e","","","range start"
"DIPHILVS","","","","comicus","","Ἔμπορος","","","fr. 33","6","6.226f","","","range end"
"DIPHILVS","","","","comicus","","Ἔμπορος","","","fr. 34","7","7.316f","","",""
"DIPHILVS","","","","comicus","","Ἐναγίζοντες","","","fr. 38","4","4.165e","","","range start"
"DIPHILVS","","","","comicus","","Ἐναγίζοντες","","","fr. 38","4","4.165f","","","range end"
"DIPHILVS","","","","comicus","","Ζωγράφος","","","fr. 43","7","7.291f","","","range start"
"DIPHILVS","","","","comicus","","Ζωγράφος","","","fr. 43","7","7.292d","","","range end"
"DIPHILVS","","","","comicus","","Ζωγράφος","","","fr. 44","6","6.230f","","","range start"
"DIPHILVS","","","","comicus","","Ζωγράφος","","","fr. 44","6","6.231a","","","range end"
"DIPHILVS","","","","comicus","","Ἡρακλῆς","","","fr. 46","10","10.421e","","",""
"DIPHILVS","","","","comicus","","Ἥρως","","","fr. 47","9","9.371a","","",""
"DIPHILVS","","","","comicus","","Θησεύς","","","fr. 49","6","6.262a","","",""
"DIPHILVS","","","","comicus","","Θησεύς","","","fr. 50","10","10.451b","",""
"DIPHILVS","","","","comicus","","Θησεύς","","","fr. 50","10","10.451c","",""
"DIPHILVS","","","","comicus","","Λήμνιαι","","","fr. 64","7","7.307f","","cf. 4.156b",""
"DIPHILVS","","","","comicus","","Μνημάτιον","","","fr. 66","3","3.124d","","",""
"DIPHILVS","","","","comicus","","Παιδερασταί","","","fr. 58","10","10.423e","","","range start"
"DIPHILVS","","","","comicus","","Παιδερασταί","","","fr. 58","10","10.423f","","","range end"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 60","10","10.422b","","","range start"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 60","10","10.422c","","","range end"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 61","6","6.236b","","","range start"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 61","6","6.236c","","","range end"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 62","6","6.238f","","","range start"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 62","6","6.239a","","","range end"
"DIPHILVS","","","","comicus","","Παράσιτος","","","fr. 63","6","6.247d","","",""
"DIPHILVS","","","","comicus","","Πελιάδες","","","fr. 64","4","4.156f","","",""
"DIPHILVS","","","","comicus","","Πολυπράγμων","","","fr. 66","6","6.225a","","","range start"
"DIPHILVS","","","","comicus","","Πολυπράγμων","","","fr. 66","6","6.225b","","","range end"
"DIPHILVS","","","","comicus","","Σαπφῶ","","","fr. 69","11","11.487a","","",""
"DIPHILVS","","","","comicus","","Σαπφῶ","","","fr. 70","13","13.599d","","",""
"DIPHILVS","","","","comicus","","Στρατιώτης","","","","","","","v. Αἱρησιτείχης",""
"DIPHILVS","","","","comicus","","Συνωρίς","","","fr. 73","6","6.247b","","","range start"
"DIPHILVS","","","","comicus","","Συνωρίς","","","fr. 73","6","6.247c","","","range end"
"DIPHILVS","","","","comicus","","ἐν τῇ διασκευὴ τοῦ αὐτοῦ δράματος","","","fr. 74","6","6.247c","","","range start"
"DIPHILVS","","","","comicus","","ἐν τῇ διασκευὴ τοῦ αὐτοῦ δράματος","","","fr. 74","6","6.247d","","","range end"
"DIPHILVS","","","","comicus","","ἐν τῇ διασκευὴ τοῦ αὐτοῦ δράματος","","","fr. 75","6","6.247c","","","range start"
"DIPHILVS","","","","comicus","","ἐν τῇ διασκευὴ τοῦ αὐτοῦ δράματος","","","fr. 75","6","6.247d","","","range end"
"DIPHILVS","","","","comicus","","ἐν τῇ διασκευὴ τοῦ αὐτοῦ δράματος","","","fr. 77","14","14.657e","","",""
"DIPHILVS","","","","comicus","","Τελεσίας","","ubi accurate poeta parasiti mores depinxit 6.258e","fr. 79","14","14.640d","","",""
"DIPHILVS","","","","comicus","","Τιθραύστης","","","fr. 80","11","11.484e","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 86","2","2.35c","","","range start"
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 86","2","2.35d","","","range end"
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 87","2","2.56d","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 90","9","9.383f","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 95","2","2.47b","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 96","2","2.67d","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 97","5","5.189e","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 124","4","4.168c","","",""
"DIPHILVS","","","","comicus","","fab. incert.","","","fr. 125","1","1.23c","","",""
"DIPHILVS","ὁ Λαοδικεύς","","","","","ἐν τῷ περὶ τῶν Νικάνδρου Θηριακῶν","","","","7","7.314d","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","ἐν τῷ Περὶ τῶν προσφερομένων τοῖς νοσοῦσι καὶ τοῖς ὑγιαίνουσιν","","","","3","3.82f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","ἐν τῷ Περὶ τῶν προσφερομένων τοῖς νοσοῦσι καὶ τοῖς ὑγιαίνουσιν","","","","3","3.115c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","ἐν τῷ Περὶ τῶν προσφερομένων τοῖς νοσοῦσι καὶ τοῖς ὑγιαίνουσιν","","","","8","8.355a","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","ἐν τῷ Περὶ τῶν προσφερομένων τοῖς νοσοῦσι καὶ τοῖς ὑγιαίνουσιν","","","","8","8.357a","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","ἐν τῷ Περὶ τῶν προσφερομένων τοῖς νοσοῦσι καὶ τοῖς ὑγιαίνουσιν","","","","14","14.650b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.50b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.51a","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.51f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.53f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.54a","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.54c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.55b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.55f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.56b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.57c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.58e","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.59b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.61c","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.61e","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.62c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.62f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.64b","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.68f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.69e","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.69f","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.70a","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","2","2.71e","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.73a","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.74c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.80b","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.80c","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.80e","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.90c","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.90e","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.91e","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.92a","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.106c","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.120e","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.121a","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.121a","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.121d","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","3","3.121d","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.369d","","cf. litt. e",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.369f","","",""
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.371a","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.371b","","","range end"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.371d","","","range start"
"DIPHILVS","ὁ Σίφνιος","","","ἰατρός","","libro non nominato","","","","9","9.371e","","","range end"
"DIYLLVS","ὁ Ἀθηναῖος","","","","","ἐν τῇ θ’ τῶν Ἱστοριῶν","","","fr. 3","4","4.155a","","",""
"DIYLLVS","ὁ Ἀθηναῖος","","","","","sine titulo","","","fr. 4","13","13.593f","","sed Δίδυμος legendum videtur",""
"DORIEVS","","","","poeta","","epigramma","","","","10","10.412f","","","range start"
"DORIEVS","","","","poeta","","epigramma","","","","10","10.413a","","","range end"
"DORIO","","","","","","","","","","8","8.337b","","cf. de eo","range start"
"DORIO","","","","","","","","","","8","8.337c","","cf. de eo","range end"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","3","3.118b","","","range start"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","3","3.118c","","","range end"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.282c","","","range start"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.282d","","","range end"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.282e","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.287c","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.294d","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.304c","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.304f","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.306e","","","range start"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.306f","","","range end"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.309e","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.312d","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.313e","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.315c","","","range start"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.315d","","","range end"
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.315f","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.319d","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.320d","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.321c","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.322e","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.327f","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.328b","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.328e","","",""
"DORIO","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.330a","","",""
"DORIO","","","","","","libro non nominato","","","","7","7.305e","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.309b","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.309f","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.312f","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.316b","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.322b","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.323a","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.328d","","v. infra p. 611 adn. 1",""
"DORIO","","","","","","libro non nominato","","","","7","7.328f","","v. infra p. 611 adn. 1",""
"DOROTHEVS","","","","","","ἐν τῇ ς’ τῶν περὶ Ἀλέξανδρον Ἱστοριῶν","","","fr. 1","7","7.277a","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","Περὶ Ἀντιφάνους καὶ περὶ τῆς παρὰ τοῖς νεωτέροις κωμικοῖς ματτύης","","","","14","14.662f","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","ἐν τῷ ὀγδόῳ πρὸς τοῖς ἑκατὸν τῆς Λέξεων Συναγωγῆς","","","","7","7.329d","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","sine titulo","","","","9","9.410a","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","sine titulo","","","","11","11.481d","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","sine titulo","","","","11","11.497e","","",""
"DOROTHEVS","ὁ Ἀσκαλωνίτης (passim)","ὁ Σιδώνιος (11.497e)","","","","sine titulo","","","","14","14.658d","","",""
"DOSIADAS","","","","","","ἐν τῇ δ’ τῶν Κρητικῶν","","","fr. 1","4","4.143a","","","range start"
"DOSIADAS","","","","","","ἐν τῇ δ’ τῶν Κρητικῶν","","","fr. 1","4","4.143d","","","range end"
"DOSIADAS","","","","","","ἐν τῇ δ’ τῶν Κρητικῶν","","","fr. 2","6","6.264a","","",""
"DRACO","ὁ Κερκυραῖος","","","","","ἐν τῷ περὶ Λίθων","","","","15","15.692d","","","range start"
"DRACO","ὁ Κερκυραῖος","","","","","ἐν τῷ περὶ Λίθων","","","","15","15.692f","","","range end"
"DROMO","","","","comicus","","Ψάλτριαι","","","fr. 1","6","6.240d","","",""
"DROMO","","","","comicus","","Ψάλτριαι","","","fr. 2","9","9.409e","","","range start"
"DROMO","","","","comicus","","Ψάλτριαι","","","fr. 2","9","9.409f","","","range end"
"DVRIS","ὁ Σάμιος","","","","","τῶν περὶ Ἀγαθοκλέα Ἱστοριῶν","ἐν βʹ","","fr. 34","14","14.618b","","","range start"
"DVRIS","ὁ Σάμιος","","","","","τῶν περὶ Ἀγαθοκλέα Ἱστοριῶν","ἐν βʹ","","fr. 34","14","14.618c","","","range end"
"DVRIS","ὁ Σάμιος","","","","","τῶν περὶ Ἀγαθοκλέα Ἱστοριῶν","ἐν τῇ γʹ","","fr. 36","13","13.605e","","",""
"DVRIS","ὁ Σάμιος","","","","","τῶν περὶ Ἀγαθοκλέα Ἱστοριῶν","ἐν τῇ δʹ","","fr. 41","12","12.541f","","","range start"
"DVRIS","ὁ Σάμιος","","","","","τῶν περὶ Ἀγαθοκλέα Ἱστοριῶν","ἐν τῇ δʹ","","fr. 41","12","12.542a","","","range end"
"DVRIS","ὁ Σάμιος","","","","","ἐν τῷ περὶ Εὐριπίδου καὶ Σοφοκλέους","","","fr. 70","4","4.184d","","",""
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν δευτέρῳ","","fr. 2","13","13.560b","","",""
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ ζʹ","","fr. 13","10","10.434e","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ ζʹ","","fr. 13","10","10.434f","","","range end"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ ζʹ","","fr. 29","4","4.155c","","",""
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ θʹ","","fr. 17","13","13.606c","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ θʹ","","fr. 17","13","13.606d","","","range end"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ ιςʹ","","fr. 27","12","12.542b","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ ιςʹ","","fr. 27","12","12.542e","","","range end"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ κβʹ","","fr. 30","6","6.253d","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ κβʹ","","fr. 30","6","6.253f","","","range end"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ κβʹ","","fr. 31","12","12.535e","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ κβʹ","","fr. 31","12","12.536a","","","range end"
"DVRIS","ὁ Σάμιος","","","","","Ἱστοριῶν","ἐν τῇ κγʹ","","fr. 32","12","12.546c","","",""
"DVRIS","ὁ Σάμιος","","","","","Μακεδονικῶν","ἐν πέμπτη","","fr. 8","6","6.249c","","",""
"DVRIS","ὁ Σάμιος","","","","","Μακεδονικῶν","ἐν ζʹ","","fr. 12","4","4.167c","","","range start"
"DVRIS","ὁ Σάμιος","","","","","Μακεδονικῶν","ἐν ζʹ","","fr. 12","4","4.167d","","","range end"
"DVRIS","ὁ Σάμιος","","","","","ἐν τοῖς Σαμίων Ὥροις","","","fr. 65","15","15.696e","","",""
"DVRIS","ὁ Σάμιος","","","","","ἐν τῷ περὶ Τραγῳδίας","","","fr. 9","14","14.636f","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 4","4","4.155d","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 4","6","6.231b","","","range start"
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 4","6","6.231c","","","range end"
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 5","12","12.532f","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 14","12","12.529a","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 20","1","1.17f","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 24","13","13.560f","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 44","1","1.19f","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 45","11","11.504b","","",""
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 47","12","12.525e","","","range start"
"DVRIS","ὁ Σάμιος","","","","","sedis incertae","","","fr. 47","12","12.525f","","","range end"
"ECHEMENES","","","","","","ἐν τοῖς Κρητικοῖς","","","fr. 1","13","13.601e","","",""
"ECPHANTIDES","","","","","","Σάτυροι","","","fr. 1","3","3.96c","","",""
"EMPEDOCLES","","","","ὁ φυσικός (8.334b)","","","","","v. 182","10","10.423f","","","range start"
"EMPEDOCLES","","","","ὁ φυσικός (8.334b)","","","","","v. 182","10","10.424a","","","range end"
"EMPEDOCLES","","","","ὁ φυσικός (8.334b)","","","","","214","8","8.334b","","",""
"EMPEDOCLES","","","","ὁ φυσικός (8.334b)","","","","","383","8","8.354e","","",""
"EMPEDOCLES","","","","ὁ φυσικός (8.334b)","","","","","405 sqq.","12","12.510c","","",""
"EMPEDVS","","","","","","ἐν Ἀπομνημονεύμασιν","","","fr. 1","9","9.370c","","",""
"EPAENETVS","","","","","","ἐν τῷ περὶ Ἰχθύων","","","","7","7.328f","","paene certum est, hoc loco turbasse Athenaeum sive eius epitomatorem: citatur Dorionis de piscibus liber, cf. Corrig. in praef. vol. III",""
"EPAENETVS","","","","","","Ὀψαρτυτικά","","","","12","12.516c","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","2","2.58b","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","3","3.88c","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.294d","","","range start"
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.294e","","","range end"
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.297c","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.304d","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.312b","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","7","7.313b","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","9","9.371e","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","9","9.387e","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","9","9.395f","","",""
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","14","14.662d","","","range start"
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","","","14","14.662e","","","range end"
"EPAENETVS","","","","","","ἐν τῷ Ὀψαρτυτικῷ","","sine titulo","","7","7.305e","","",""
"EPARCHIDES","","","","","","","","","fr. 1","1","1.30b","","",""
"EPARCHIDES","","","","","","","","","fr. 1","1","1.30d","","",""
"EPARCHIDES","","","","","","","","","fr. 2","2","2.61a","","","range start"
"EPARCHIDES","","","","","","","","","fr. 2","2","2.61b","","","range end"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 1","3","3.120d","","","range start"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 1","3","3.120e","","","range end"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 2","4","4.146c","","",""
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 3","12","12.537d","","","range start"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 3","12","12.538b","","","range end"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 4","10","10.434a","","","range start"
"EPHIPPVS","ὁ Ὀλύνθιος","","","","","ἐν τῷ Περὶ τῆς Ἀλεξάνδρου καὶ Ἡφαιστίωνος ταφῆς","","τελευτῆς (12.537d), μεταλλαγῆς (4.146c)","fr. 4","10","10.434b","","","range end"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Ἄρτεμις","","","fr. 1","3","3.112f","","",""
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Βούσ(ε)ιρις","","","fr. 2","10","10.442d","","","range start"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Βούσ(ε)ιρις","","","fr. 2","10","10.442e","","","range end"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Γηρυόνης","","","fr. 3","9","9.370c","","cf. 2.65c adn.","range start"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Γηρυόνης","","","fr. 3","9","9.370d","","cf. 2.65c adn.","range end"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Γηρυόνης","","","fr. 4","8","8.365c","","",""
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Γηρυόνης","","","fr. 5","8","8.346f","","","range start"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Γηρυόνης","","","fr. 5","8","8.347b","","","range end"
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Ἐμπολή","","","fr. 6","8","8.363c","","",""
"EPHIPPVS","","","","comicus","Ephippi fabulas nemo legit nisi unus Athenaeus","Ἐμπολή","","","fr. 6","13","13.571e","","","range start"
