"AESCHYLVS","","","","","","Ὀστολόγοι","","","fr. 179","15","15.667d","","cf. 11.782e","range end"
"AESCHYLVS","","","","","","Ὀστολόγοι","","","","","","","v. fab. incert. fragmenta",""
"AESCHYLVS","","","","","","Παλαμήδης","","","fr. 182","1","1.11d","","",""
"AESCHYLVS","","","","","","Περραιβίδες","","","fr. 184","11","11.499a","","v. Πέρσαι",""
"AESCHYLVS","","","","","","Περραιβίδες","","","fr. 185","11","11.476c","","v. Πέρσαι",""
"AESCHYLVS","","","","","","Πέρσαι","","Περραιβίδες coni","fab. inc. fr. 285","3","3.86b","","",""
"AESCHYLVS","","","","","","Προμηθεὺς Δεσμώτης","","","297","4","4.165c","","",""
"AESCHYLVS","","","","","","Προμηθεὺς Δεσμώτης","","","814","8","8.347c","","",""
"AESCHYLVS","","","","","","Προμηθεὺς Λυόμενος","","","fr. 202","15","15.674d","","",""
"AESCHYLVS","","","","","","Πρωτεὺς σατυρικός","","","fr. 210","9","9.394a","","",""
"AESCHYLVS","","","","","","Πρωτεὺς σατυρικός","","","fr. 211","2","2.67c","*","",""
"AESCHYLVS","","","","","","Σφίγξ","","","fr. 235","15","15.674d","","","range start"
"AESCHYLVS","","","","","","Σφίγξ","","","fr. 235","15","15.674e","","","range end"
"AESCHYLVS","","","","","","Φιλοκτήτης","","","fr. 257","9","9.394a","","",""
"AESCHYLVS","","","","","","Φινεύς","","","fr. 258","10","10.421f","","",""
"AESCHYLVS","","","","","","Φορκίδες","","","fr. 261","9","9.402b","","",""
"AESCHYLVS","","","","","","Φρύγες","","","fr. 264","2","2.51c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","Ostologorum fr. 180","1","1.17c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 285","3","3.86b","","v. Πέρσαι",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 307","7","7.303c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 308","7","7.303c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 309","9","9.375d","","","range start"
"AESCHYLVS","","","","","","fab. incert.","","","fr. 309","9","9.375e","","","range end"
"AESCHYLVS","","","","","","fab. incert.","","","fr. 310","9","9.375d","","","range start"
"AESCHYLVS","","","","","","fab. incert.","","","fr. 310","9","9.375e","","","range end"
